Property Character Location Other,Project Requested,First appearance:,,Appears On Cover? (Y/N),Talent:,,,,Talent/Agreement  Notes,Rights/Additional Notes,VALIDATED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Issue,Date,,Name,Service,Agreement Type,Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amanita,,Green Lantern #20,Jan-1992,N,Gerard Jones,writer,Continuity,,DC no longer has an active relationship with Jones due to criminal conviction.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Pat Broderick,"pencils, cover",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Romeo Tanghal,inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Anthony Tollin,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazo,Arrow 709,Brave & the Bold #30,Jun-1960,Y,Gardner F. Fox,writer,Creator Recognition,,Deceased Creator recognition agreement is with heirs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Mike Sekowsky,"pencils, cover pencils",None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Bernard Sachs,inks,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Murphy Anderson,cover inks,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambush Bug,"Flash 207
(11/17/2015)",DC Comics Presents #52,Dec-1982,N,Paul Kupperberg,writer,Exclusive; WFH Acknowledgment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Keith Giffen,"pencils, cover pencils",Creative Contributor,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sal Trapani,inks,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Dick Giordano,cover inks,N/A,,"Giordano may have been an employee of DC at this time.
Deceased",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Gene D'Angelo,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Security Agency
(A.S.A.)",Black Lightning 105,Batman & the Outsiders Annual #1,1984,N,Mike W. Barr,writer,Writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Jerome Moore,pencils,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Alex Saviuk,pencils,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Jan Duursema,pencils,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Rick Hoberg,pencils,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Jim Aparo,"inks, cover inks",Artist; WFH,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Frank Miller,cover pencils,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Adrienne Roy,color,Exclusive,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Virgin
f/k/a Virgin",,American Virgin #1,May-2006,Y,Steve Seagle,writer,Joint Creator/First & Last Rights; Writer,2004,This property reverted to the creators in 2013. The property and all associated characters are not available for use.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Rebecca Cloonan,"pencils, inks",Joint Creator/First & Last Rights; Artist,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Brian Miller,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Vincent Deighan
(Frank Quitely)",cover,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amethyst
(Amy Winston; Amaya; Amethyst, Princess of Gemworld )",,"Legion of Super-Heroes #298
""Duel in Dark Magic""",Apr-1983,N,Gary Cohn,writer,WFH,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Dan Mishkin,writer,WFH,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Ernie Colon,"pencils, inks",WFH,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Thomas Ziuko,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Keith Giffen,cover pencils,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Larry Mahlstedt,cover inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amon Tomaz
(Osiris)",,"Teen Titans #38
First Appearance -  in a Photo marked ""Osiris""",Sep-2006,N,Geoff Johns,writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Carlos Ferreira,pencils,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Art Thibert,inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Drew Geraci,inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"52 #23
First appearance as an actual character",Dec-2006,N,Geoff Johns,writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Grant Morrison,writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Greg Rucka,writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Mark Waid,writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Keith Giffen,pencils,Continuity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Drew Johnson,pencils,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Ray Snyder,inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amos Fortune,,Justice League of America #6,Sep-1961,Y,Gardner F. Fox,,Creator Recognition,2009,Deceased Creator recognition agreement with heirs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Mike Sekowsky,"pencils, cover pencils",None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Bernard Sachs,inks,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Murphy Anderson,cover inks,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amos Fortune Casino,Flash 403,"Justice League Animated Series
""Wild Cards""",Dec-2003,,Stan Berkowitz,writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Dwayne McDuffie,writer,,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amy Rohrbach,Titans 101,Nightwing #48,Oct-2000,N,Chuck Dixon,writer,WFH,,Character equity agreement sent in 2014; not returned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Greg Land,"pencils, cover pencils",WFH.,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Jose Marzan Jr.,inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Karl Story,cover inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Patricia Mulvihill,color,Exclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amygdala
(Aaron Helzinger)","Gotham 201
(9/21/2015)",Batman: Shadow of the Bat #3,Aug-1992,N,Alan Grant,writer,WFH,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Norm Breyfogle,"pencils, inks",None,,"Deceased
Character equity agreement sent. (5/31/16)
Breyfogle's WFH agreements for Shadow of the Bat #1 &2 have been located.  UPDATE: Located Continuity Artist Agreement for Breyfogle for this title dated January 31, 1992 (DCBL#222424) that was terminated on March 1, 1993 (DCBL#222423)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Jefferson Mitchell
(Brian Stelfreeze)",cover,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Adrienne Roy,color,Exclusive,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anarky
(Lonnie Machlan)",Arrow 402,Detective Comics #608,Nov-1989,Y,Alan Grant,writer,WFH,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Norm Breyfogle,"pencils, cover",WFH; Continuity,2013,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Steve Mitchell,inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Adrienne Roy,color,Exclusive,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anarky
(Samuel Young)",,Detective Comics #30,Jun-2014,N,Francis Manapul,"writer, pencils, inks, cover",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Brian Buccellato,"writer, color",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andre
(Iron Face; The Man in the Iron Mask; M'sieu Machine)",,"in Quality Comics:
Military Comics #2
""The Coward Dies Twice""",Sep-1941,N,Will Eisner,writer,None,,See Quality Comics purchase agreements dated 7/26/56 & 8/1/67.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Charles Cuidera,"pencils, inks, cover",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Bill Smith,cover,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"in DC Comics:
Blackhawk #108",Jan-1957,N,Dick Dillin,"pencils, cover pencils",None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Charles Cuidera,"inks, cover inks",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Blanc-Dumont,,Blackhawk #1,Mar-1989,N,Howard Chaykin,"writer, pencils, inks, cover",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Steve Oliff,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Lincoln,,Blackhawks #1,Nov-2011,Y,Mike Costa,writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Graham Nolan,pencils,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Ken Lashley,"pencils, inks, cover",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Guy Major,color,Exclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andromache
(Majestrix)","Justice League
(2017)",WildC.A.T.S Trilogy #2,Sep-1993,N,Brandon Choi,writer,WFH Acknowledgment,,See also: Aegis Entertainment Purchase Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Dafydd Wyn,writer,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Jae Lee,"pencils, inks, cover",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Joe Chiodo,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angel & The Ape,,"Showcase vol 1 #77
""Angel and the Ape"" ",Sep-1968,Y,E. Nelson Bridwell,writer,N/A,,"Bridwell was an employee of DC at this time (from 1/13/1964-1/23/1987).
Deceased (January 1987)","1 active heir, which has been receiving royalty payments: Marie O’Brien (Heir to the Estate of E. Nelson Bridwell)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Bob Oksner,"pencils, cover ",None,,Deceased (February 2007),"3 active heirs, which have been receiving royalty payments.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Philip Eustice ""Tex"" Blaisdell","inks, cover",None,,Deceased (March 1999),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Animal Man
(Buddy Baker)",Dark Universe,"Strange Adventures #180
""I Was The Man With Animal Powers""",Sep-1965,Y,Dave Wood,writer,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Carmine Infantino,"pencils, cover",Settlement,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,George Roussos,inks,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Animal-Vegetable-Mineral Man
(Sven Larsen)",Doom Patrol 106,"Doom Patrol #89
""The Animal Vegetable Mineral Menace""",Aug-1964,Y,Arnold Drake,writer,None,2006,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Bruno Premiani,"pencils, inks",None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Bob Brown,cover,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anndranna,Supergirl 204,"Strange Adventures #143
""The Face In The Atom Bomb Cloud!""",Aug-1962,Y,Gardner Fox,writer,Creator Recognition,,Deceased Creator Recognition agreement is with heirs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Murphy Anderson,"pencils, inks, cover",None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ant Farm,Doom Patrol 111,"Frankenstein, Agent of S.H.A.D.E. #1
""War of the Monsters Pt. 1: Monster Town, USA""",Nov-2011,N,Jeff Lemire,writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Alberto Ponticelli,"pencils, inks",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,J.G. Jones,cover,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Jose Villarrubia,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anti-Monitor,DC Super Hero Girls,Crisis on Infinite Earths #2,May-1985,N,Marv Wolfman,writer,Writer/Editor,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,George Perez,"pencils, cover",Exclusive,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Dick Giordano,inks,None,,"Giordano may have been an employee of DC at this time.
Deceased",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Anthony Tollin,color,Exclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antiope
(Pre-Crisis)","Wonder Woman
(2017)","Wonder Woman #312
""Escape""",Feb-1984,N,Dan Mishkin,writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Don Heck,"pencils, inks",WFH,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Gil Kane,cover,WFH,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Nansi Hoolihan,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antiope
(Post-Crisis)","Wonder Woman
(2017)",Wonder Woman #1,Feb-1987,N,Greg Potter,writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,George Perez,"plot, pencils, cover",Continuity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Bruce Patterson,inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Tatjana Wood,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anton Arcane,,Swamp Thing #1,Oct-1972,N,Len Wein,writer,Settlement,2009,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Berni Wrightson,"pencils, inks, cover",Settlement,2009,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anton Greeva,"Point Blank
Sleeper",Sleeper #5,Jul-2003,N,Ed Brubaker,writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sean Phillips,"pencils, inks, cover",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Tony Avina,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anton Slater,Flash 410,The Flash #337,Sep-1984,N,Cary Bates,writer,Exclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Carmine Infantino,"pencils, cover pencils",Settlement; WFH,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Frank McLaughlin,inks,Exclusive; WFH,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Klaus Janson,cover inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Carl Gafford,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthro,,"Showcase vol 1 #74
Anthro: ""It Could Be You""",May-1968,Y,"Howard ""Howie"" Post","writer, pencils, inks, cover ",None,,Deceased (May 2010),No known active heirs and no royalty payments have been maid.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphrodite,"Wonder Woman
(2017)","All-Star Comics #8
""Introducing Wonder Woman""",Dec-1941,N,William Moulton Marston,writer,Marston agreements (7/31/41; 1/15/46; 7/25/51),,Deceased Final agreement is with Estate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Harry G. Peter,"pencils, inks",Artist,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Everett E. Hibbard,cover,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apokolips,Justice League (2017),New Gods #1,Mar-1971,N,Jack Kirby,"writer, pencils, cover pencils",Fourth World Agreement,1982,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Vince Colletta,inks,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Frank Giacoia,cover inks,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apollo
(Phoebus Apollo)","Wonder Woman
(2017)","Golden Age:
All-Star Comics #8
""Introducing Wonder Woman""",Dec-1941,N,William Moulton Marston,writer,Marston agreements (7/31/41; 1/15/46; 7/25/51),,Deceased Final agreement is with Estate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Harry G. Peter,"pencils, inks",Artist,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Everett E. Hibbard,cover,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"New 52:
Wonder Woman #1",Nov-2011,N,Brian Azzarello,writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Cliff Wu Chiang,"pencils, inks, cover",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Matthew Wilson,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apollo,,Stormwatch #4,Feb-1998,Y,Warren Ellis,writer,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Bryan Hitch,"pencils, cover",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Paul Neary,inks,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Laura Depuy Martin,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aqualad
(Garth; Tempest)",,"as Aqualad:
Adventure Comics #269
""The Kid From Atlantis""",Feb-1960,N,Robert Bernstein,writer,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Ramona Fradon,"pencils, inks",Creator Recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Curt Swan,cover pencils,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sheldon Moldoff,cover inks,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"as Tempest:
Tempest #1",Nov-1996,Y,Phil Jimenez,"writer, pencils, cover pencils",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,John Stokes,"inks, cover inks",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Carla Feeny,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aquaman
(Golden Age)",,"More Fun Comics #73
""The Submarine Strikes""",Nov-1941,N,Mort Weisinger,writer,None,,"Weisinger was an employee of DC at this time.
Deceased",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Paul Norris,"pencils, inks",Settlement,2002,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Howard Sherman,cover,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aquaman
(Arthur Curry; Orin; Silver Age)",,"Adventure Comics #260
""How Aquaman Got His Powers""",May-1959,N,Robert Bernstein,writer,None,,"The writer on this work is generally credited as “unknown.” However, several sources suggest that Bernstein may have been the writer, so we include him here to be conservative.
Deceased",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Ramona Fradon,"pencils, inks",Creator Recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Curt Swan,cover pencils,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Stan Kaye,cover inks,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aquaman
(Arthur Joseph Curry)",,Aquaman: Sword of Atlantis #40,May-2006,Y,Kurt Busiek,writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Jackson Guice,"pencils, inks, cover",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Ian Churchill,cover (variant),Exclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Daniel Brown,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area 10,,Area 10 HC,2010,Y,Christos N. Gage,writer,Joint Creator/All Rights; Writer,2006,This property reverted to the creators in 2016. The property and all associated characters are not available for use.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Chris Samnee,"pencils, inks",Joint Creator/All Rights; Artist,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Lee Bermejo,cover,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ares
(Mars; Pre-Crisis)",,"Wonder Woman #1
""The Origin of Wonder Woman""",Summer 1942,N,William Moulton Marston,writer,Marston agreements (7/31/41; 1/15/46; 7/25/51),,Deceased Final agreement is with Estate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Harry G. Peter,"pencils, inks, cover",Artist,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ares
(Post-Crisis)",,Wonder Woman #1,Feb-1987,N,Greg Potter,writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,George Perez,"plot, pencils, cover",Continuity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Bruce Patterson,inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Tatjana Wood,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A.R.G.U.S.
(Advanced Research Group Uniting Super-Humans)",Legends 112,"Justice League #7
""The Villain's Journey Prologue""",May-2012,N,Geoff Johns,writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Gene Ha,"pencils, inks",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Jim Lee,cover pencils,Firewall Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Scott Williams,cover inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Gary Frank,cover (variant),WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Art Lyon,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkham Asylum,"Justice League
(2017)","Batman #258
""The Threat of the Two-Headed Coin""",Sep-1974,N,Dennis O'Neil,writer,Creator Recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Irv Novick,pencils,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Dick Giordano,inks,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Nicholas Viscardi
(Nick Cardy)",cover,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
